branch_slug,category,item,variant,price_sar
al-ajaweed,Taza Sandwiches,Sandwich Zinger,meal,16
al-ajaweed,Taza Sandwiches,Sandwich Jumbo Zinger,sandwich,11
al-ajaweed,Taza Sandwiches,Sandwich Jumbo Zinger,meal,18
al-ajaweed,Taza Burger,Chicken / Beef Burger,sandwich,8
al-ajaweed,Taza Burger,Chicken / Beef Burger,meal,16
al-ajaweed,Taza Burger,Chicken / Beef Burger Double,sandwich,13
al-ajaweed,Taza Burger,Chicken / Beef Burger Double,meal,20
al-ajaweed,Taza Burger,Zinger Burger,sandwich,10
al-ajaweed,Taza Burger,Zinger Burger,meal,17
al-ajaweed,Taza Burger,Fish Burger,sandwich,8
al-ajaweed,Taza Burger,Fish Burger,meal,15
al-ajaweed,Taza Burger,Shrimp Burger,sandwich,10
al-ajaweed,Taza Burger,Shrimp Burger,meal,17
al-ajaweed,Taza Burger,Classic Chicken & Beef Burger,sandwich,12
al-ajaweed,Taza Burger,Classic Chicken & Beef Burger,meal,20
al-ajaweed,Taza Burger,Classic Burger Double,sandwich,18
al-ajaweed,Taza Burger,Classic Burger Double,meal,25
al-ajaweed,Taza Broast,Dynamate Shrimp Fries,regular,12
prince-abdul-majeed,Taza Broast,Broast Chicken,regular,19
prince-abdul-majeed,Taza Broast,Chicken Nuggets,regular,18
prince-abdul-majeed,Taza Broast,Shrimp Broast,regular,23
prince-abdul-majeed,Taza Broast,Chicken Strips,regular,18
prince-abdul-majeed,Taza Broast,Kids Meal,regular,18
prince-abdul-majeed,Taza Broast,Fish Fillet,regular,19
prince-abdul-majeed,Taza Zinger Special,Taza Zinger Burger,sandwich,9
prince-abdul-majeed,Taza Zinger Special,Taza Zinger Burger,meal,16
prince-abdul-majeed,Taza Zinger Special,Taza Zinger Burger Double,sandwich,11
prince-abdul-majeed,Taza Zinger Special,Taza Zinger Burger Double,meal,18
prince-abdul-majeed,Taza Zinger Special,Zinger Wrap,sandwich,8
prince-abdul-majeed,Taza Zinger Special,Zinger Wrap,meal,15
prince-abdul-majeed,Taza Zinger Special,Zinger Samooli,sandwich,10
prince-abdul-majeed,Taza Zinger Special,Zinger Samooli,meal,17
prince-abdul-majeed,Taza Zinger Special,Zinger Rocket Plate,regular,13
prince-abdul-majeed,Taza Zinger Special,Zinger Club,regular,13
prince-abdul-majeed,Taza Zinger Special,Chicken Fries,sandwich,13
prince-abdul-majeed,Taza Zinger Special,Chicken Fries,meal,18
prince-abdul-majeed,Taza Zinger Special,Zinger Rocket,sandwich,11
prince-abdul-majeed,Taza Zinger Special,Zinger Rocket,meal,18
prince-abdul-majeed,Taza Sandwiches,Sandwich Nuggets,sandwich,8
prince-abdul-majeed,Taza Sandwiches,Sandwich Nuggets,meal,15
prince-abdul-majeed,Taza Sandwiches,Sandwich Jumbo Nuggets,sandwich,9
prince-abdul-majeed,Taza Sandwiches,Sandwich Jumbo Nuggets,meal,16
prince-abdul-majeed,Taza Sandwiches,Sandwich Shrimp,sandwich,10
prince-abdul-majeed,Taza Sandwiches,Sandwich Shrimp,meal,17
prince-abdul-majeed,Taza Sandwiches,Sandwich Jumbo Shrimp,sandwich,11
prince-abdul-majeed,Taza Sandwiches,Sandwich Jumbo Shrimp,meal,18
prince-abdul-majeed,Taza Sandwiches,Sandwich Fish,sandwich,9
prince-abdul-majeed,Taza Sandwiches,Sandwich Fish,meal,16
prince-abdul-majeed,Taza Sandwiches,Sandwich Jumbo Fish,sandwich,11
prince-abdul-majeed,Taza Sandwiches,Sandwich Jumbo Fish,meal,18
prince-abdul-majeed,Taza Sandwiches,Sandwich Strips,sandwich,9
prince-abdul-majeed,Taza Sandwiches,Sandwich Strips,meal,16
prince-abdul-majeed,Taza Sandwiches,Sandwich Jumbo Strips,sandwich,9
prince-abdul-majeed,Taza Sandwiches,Sandwich Jumbo Strips,meal,16
prince-abdul-majeed,Taza Sandwiches,Chicken Sandwich,sandwich,5
prince-abdul-majeed,Taza Sandwiches,Chicken Sandwich,meal,12
prince-abdul-majeed,Taza Sandwiches,Tikka Roll,sandwich,8
prince-abdul-majeed,Taza Sandwiches,Tikka Roll,meal,15
prince-abdul-majeed,Taza Sides,Potato Cheese,regular,10
prince-abdul-majeed,Taza Sides,Potato Rings,regular,8
prince-abdul-majeed,Taza Sides,Chicken Popcorn,regular,8
prince-abdul-majeed,Taza Sides,Potato Wedges,regular,10
prince-abdul-majeed,Taza Sides,French Fries,small,6
prince-abdul-majeed,Taza Sides,French Fries,medium,8
prince-abdul-majeed,Taza Sides,French Fries,large,14
prince-abdul-majeed,Taza Sides,Onion Rings,regular,7
prince-abdul-majeed,Taza Sides,Coleslaw Salad,regular,4
prince-abdul-majeed,Taza Mojito,Blueberry Mojito,regular,8
prince-abdul-majeed,Taza Mojito,Mixed Mojito,regular,8
prince-abdul-majeed,Taza Mojito,Strawberry Mojito,regular,8
prince-abdul-majeed,Taza Special Sauces,Garlic Sauce,regular,1
prince-abdul-majeed,Taza Special Sauces,Garlic Spicy,regular,1.5
prince-abdul-majeed,Taza Special Sauces,Cocktail,regular,2
prince-abdul-majeed,Taza Special Sauces,Cheese,regular,2
prince-abdul-majeed,Taza Special Sauces,Dynamic Sauce,regular,2
al-samer,Taza Broast,Broast Chicken,regular,19
al-samer,Taza Broast,Chicken Nuggets,regular,18
al-samer,Taza Broast,Shrimp Broast,regular,23
al-samer,Taza Broast,Chicken Strips,regular,18
al-samer,Taza Broast,Kids Meal,regular,18
al-samer,Taza Broast,Fish Fillet,regular,19
al-samer,Taza Sandwiches,Sandwich Nuggets,sandwich,8
al-samer,Taza Sandwiches,Sandwich Nuggets,meal,15
al-samer,Taza Sandwiches,Sandwich Jumbo Nuggets,sandwich,9
al-samer,Taza Sandwiches,Sandwich Jumbo Nuggets,meal,16
al-samer,Taza Sandwiches,Sandwich Shrimp,sandwich,10
al-samer,Taza Sandwiches,Sandwich Shrimp,meal,17
al-samer,Taza Sandwiches,Sandwich Jumbo Shrimp,sandwich,11
al-samer,Taza Sandwiches,Sandwich Jumbo Shrimp,meal,18
al-samer,Taza Sandwiches,Sandwich Fish,sandwich,9
al-samer,Taza Sandwiches,Sandwich Fish,meal,16
al-samer,Taza Sandwiches,Sandwich Jumbo Fish,sandwich,11
al-samer,Taza Sandwiches,Sandwich Jumbo Fish,meal,18
al-samer,Taza Sandwiches,Sandwich Strips,sandwich,9
al-samer,Taza Sandwiches,Sandwich Strips,meal,16
al-samer,Taza Sandwiches,Sandwich Jumbo Strips,sandwich,9
al-samer,Taza Sandwiches,Sandwich Jumbo Strips,meal,16
al-samer,Taza Sandwiches,Chicken Sandwich,sandwich,5
al-samer,Taza Sandwiches,Chicken Sandwich,meal,12
al-samer,Taza Sandwiches,Tikka Roll,sandwich,8
al-samer,Taza Sandwiches,Tikka Roll,meal,15
al-samer,Taza Sides,Potato Cheese,regular,10
al-samer,Taza Sides,Potato Rings,regular,8
al-samer,Taza Sides,Chicken Popcorn,regular,8
al-samer,Taza Sides,Potato Wedges,regular,10
al-samer,Taza Sides,French Fries,small,6
al-samer,Taza Sides,French Fries,medium,8
al-samer,Taza Sides,French Fries,large,14
al-samer,Taza Sides,Onion Rings,regular,7
al-samer,Taza Sides,Coleslaw Salad,regular,4
al-samer,Taza Special Sauces,Garlic Sauce,regular,1
al-samer,Taza Special Sauces,Garlic Spicy,regular,1.5
al-samer,Taza Special Sauces,Cocktail,regular,2
al-samer,Taza Special Sauces,Cheese,regular,2
al-samer,Taza Special Sauces,Dynamic Sauce,regular,2
al-samer,Taza Sandwiches,Sandwich Zinger,sandwich,9
al-samer,Taza Sandwiches,Sandwich Zinger,meal,16
al-samer,Taza Sandwiches,Sandwich Jumbo Zinger,sandwich,11
al-samer,Taza Sandwiches,Sandwich Jumbo Zinger,meal,18
al-samer,Taza Burger,Chicken / Beef Burger,sandwich,6
al-samer,Taza Burger,Chicken / Beef Burger,meal,13
al-samer,Taza Burger,Chicken / Beef Burger Jumbo,sandwich,9
al-samer,Taza Burger,Chicken / Beef Burger Jumbo,meal,16
al-samer,Taza Burger,Chicken / Beef Burger Double,sandwich,13
al-samer,Taza Burger,Chicken / Beef Burger Double,meal,20
al-samer,Taza Burger,Zinger Burger,sandwich,10
al-samer,Taza Burger,Zinger Burger,meal,17
al-samer,Taza Burger,Zinger Burger Double,sandwich,16
al-samer,Taza Burger,Zinger Burger Double,meal,22
al-samer,Taza Burger,Fish Burger,sandwich,8
al-samer,Taza Burger,Fish Burger,meal,15
al-samer,Taza Burger,Shrimp Burger,sandwich,10
al-samer,Taza Burger,Shrimp Burger,meal,17
al-samer,Taza Broast,Dynamate Shrimp Fries,regular,12
abraq-ar-rughamah,Taza Grill,Kabab Chicken,regular,9
abraq-ar-rughamah,Taza Grill,Kabab Beef,regular,9
abraq-ar-rughamah,Taza Grill,Ausal Laham,regular,9
abraq-ar-rughamah,Taza Grill,Ausal Chicken,regular,9
abraq-ar-rughamah,Taza Grill,Mabshur Beef,regular,9
abraq-ar-rughamah,Taza Grill,Mabshur Chicken,regular,9
abraq-ar-rughamah,Taza Grill,Ausal Fish,regular,9
abraq-ar-rughamah,Taza Grill,Grilled Shrimp,regular,9
abraq-ar-rughamah,Taza Grill,Beef Kabab,regular,22
abraq-ar-rughamah,Taza Grill,Chicken Kabab,regular,22
abraq-ar-rughamah,Taza Grill,Beef Mabshur,regular,22
abraq-ar-rughamah,Taza Grill,Chicken Mabshur,regular,22
abraq-ar-rughamah,Taza Grill,Samman,regular,24
abraq-ar-rughamah,Taza Grill,Reesh,regular,40
abraq-ar-rughamah,Taza Grill,Ausal Fish Plate,regular,22
abraq-ar-rughamah,Taza Grill,Grilled Shrimp Plate,regular,26
abraq-ar-rughamah,Taza Grill,Grilled Chicken,half,17
abraq-ar-rughamah,Taza Grill,Grilled Chicken,full,34
abraq-ar-rughamah,Taza Grill,Ausal Beef,regular,22
abraq-ar-rughamah,Taza Grill,Mixed Kilo,regular,88
abraq-ar-rughamah,Taza Grill,Sheesh Taouk,regular,22
abraq-ar-rughamah,Taza Platters,Special Platter,small,135
abraq-ar-rughamah,Taza Platters,Special Platter,medium,150
abraq-ar-rughamah,Taza Platters,Special Platter,large,170
abraq-ar-rughamah,Taza Platters,Guests Platter,small,190
abraq-ar-rughamah,Taza Platters,Guests Platter,medium,220
abraq-ar-rughamah,Taza Platters,Guests Platter,large,240
abraq-ar-rughamah,Taza Appetizers,Hummus,small,5
abraq-ar-rughamah,Taza Appetizers,Hummus,medium,8
abraq-ar-rughamah,Taza Appetizers,Hummus,large,15
abraq-ar-rughamah,Taza Appetizers,Mutabbal,small,5
abraq-ar-rughamah,Taza Appetizers,Mutabbal,medium,8
abraq-ar-rughamah,Taza Appetizers,Mutabbal,large,15
abraq-ar-rughamah,Taza Appetizers,Tabbouleh,small,5
abraq-ar-rughamah,Taza Appetizers,Tabbouleh,medium,8
abraq-ar-rughamah,Taza Appetizers,Tabbouleh,large,15
abraq-ar-rughamah,Taza Appetizers,Baba Ghanouj,small,5
abraq-ar-rughamah,Taza Appetizers,Baba Ghanouj,medium,8
abraq-ar-rughamah,Taza Appetizers,Baba Ghanouj,large,15
abraq-ar-rughamah,Taza Appetizers,Russian Salad,small,5
abraq-ar-rughamah,Taza Appetizers,Russian Salad,medium,8
abraq-ar-rughamah,Taza Appetizers,Russian Salad,large,15
abraq-ar-rughamah,Taza Appetizers,Laban Salad,small,5
abraq-ar-rughamah,Taza Appetizers,Laban Salad,medium,8
abraq-ar-rughamah,Taza Appetizers,Laban Salad,large,15
abraq-ar-rughamah,Taza Appetizers,Mixed Appetizers,small,15
abraq-ar-rughamah,Taza Appetizers,Mixed Appetizers,large,28
abraq-ar-rughamah,Taza Appetizers,Grape Leaves,small,12
abraq-ar-rughamah,Taza Appetizers,Grape Leaves,large,24
abraq-ar-rughamah,Taza Broast,Broast Chicken,regular,19
abraq-ar-rughamah,Taza Broast,Chicken Nuggets,regular,18
abraq-ar-rughamah,Taza Broast,Shrimp Broast,regular,23
abraq-ar-rughamah,Taza Broast,Chicken Strips,regular,18
abraq-ar-rughamah,Taza Broast,Kids Meal,regular,18
abraq-ar-rughamah,Taza Broast,Fish Fillet,regular,19
abraq-ar-rughamah,Taza Sides,Potato Cheese,regular,10
abraq-ar-rughamah,Taza Sides,Potato Rings,regular,8
abraq-ar-rughamah,Taza Sides,Chicken Popcorn,regular,8
abraq-ar-rughamah,Taza Sides,Potato Wedges,regular,10
abraq-ar-rughamah,Taza Sides,French Fries,small,6
abraq-ar-rughamah,Taza Sides,French Fries,medium,8
abraq-ar-rughamah,Taza Sides,French Fries,large,14
abraq-ar-rughamah,Taza Sides,Onion Rings,regular,7
abraq-ar-rughamah,Taza Sides,Coleslaw Salad,regular,4
abraq-ar-rughamah,Taza Special Sauces,Garlic Sauce,regular,1
abraq-ar-rughamah,Taza Special Sauces,Garlic Spicy,regular,1.5
abraq-ar-rughamah,Taza Special Sauces,Cocktail,regular,2
abraq-ar-rughamah,Taza Special Sauces,Cheese,regular,2
abraq-ar-rughamah,Taza Special Sauces,Dynamic Sauce,regular,2
abraq-ar-rughamah,Taza Burger,Chicken / Beef Burger,sandwich,6
abraq-ar-rughamah,Taza Burger,Chicken / Beef Burger,meal,13
abraq-ar-rughamah,Taza Burger,Chicken / Beef Burger Jumbo,sandwich,9
abraq-ar-rughamah,Taza Burger,Chicken / Beef Burger Jumbo,meal,16
abraq-ar-rughamah,Taza Burger,Chicken / Beef Burger Double,sandwich,13
abraq-ar-rughamah,Taza Burger,Chicken / Beef Burger Double,meal,20
abraq-ar-rughamah,Taza Burger,Zinger Burger,sandwich,10
abraq-ar-rughamah,Taza Burger,Zinger Burger,meal,17
abraq-ar-rughamah,Taza Burger,Zinger Burger Double,sandwich,16
abraq-ar-rughamah,Taza Burger,Zinger Burger Double,meal,22
abraq-ar-rughamah,Taza Burger,Fish Burger,sandwich,8
abraq-ar-rughamah,Taza Burger,Fish Burger,meal,15
abraq-ar-rughamah,Taza Burger,Shrimp Burger,sandwich,10
abraq-ar-rughamah,Taza Burger,Shrimp Burger,meal,17
abraq-ar-rughamah,Taza Broast,Dynamate Shrimp Fries,regular,12
